評論者,評分,時間,內容,店家名稱,店家ID
Alex青鳥（鶄）,5,2 個月前,"可惜沒有吃到舒芙蕾
不過煙燻鮭魚義大利麵好吃～
鮭魚不會油

炸薯條也很讚 不用沾醬就好吃
雞米花配蜂蜜芥末的話不錯吃～
大蒜麵包還行 如果能更脆一點比較好",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Nash Huang,5,2 個月前,小小一間 座位不多 空間還算可以 燉飯很好吃 麵包 也不錯 湯就有點淡,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
糰子媽咪,4,2 個月前,經過瞄到菜單有舒芙蕾，可惜只供應到五點，不過沒關係其他餐點也不錯，湯可以續，服務生服務態度都很棒,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
TUNGDONG董咚,5,1 年前,"看完電影與爸爸來吃午餐！
點了商業午餐，不貴，有附麵包及紅茶。
麵包還不錯吃😋
紅茶好喝！

義大利麵的部分，口味偏重，滿精緻的！",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
薇薇的天空,3,9 個月前,組合式義大利麵、燉飯，可自選醬料、搭配主菜，套餐升級加99元附義式麵包、湯，加169元再多飲料，麵包、湯可免費續一次，檸檬水自取，加10%服務費。麵包和巧達湯平平，起司白醬義大利麵口味不錯，但炙燒煙燻鮭魚過硬超鹹。南瓜燉飯不錯，英式炸魚酥脆。,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
李婉柔,4,3 個月前,"清炒的青蔬義大利麵味道一般般
義大利麵的菜感覺像是冷凍蔬菜
吃起來覺得不太新鮮",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Yun yun Lee,4,1 年前,"在百貨公司內，非假日時段，不用預約
店內環境乾淨，不吵雜，用餐環境舒適。
有優惠的午餐，單點餐點加99或199可升級套餐，加99元就是有湯跟一片麵包。單點可自選醬料，有些要加錢，例如明太子，要加20元
義大利麵個人覺得很好吃，不過湯跟麵包很普通",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Evelyn Liao,3,1 年前,完全不推千層麵，清炒蒜香義大利麵的大蒜味超濃，覺得口味可以再進步一點，用餐座位上方燈飾的蜘蛛網也該清理一下，可能是這樣所以餐點收費價位不算高～,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
陳彥霖 Simon,3,7 個月前,點了白醬雞胸麵，吃起來很乾，吃完後不停地想喝水，不推薦。蒜香清炒的還可以。,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
王小欣,1,11 個月前,"海鮮焗烤千層麵有夠難吃
第一次吃到這麼難吃的焗烤麵
濃湯也很普通，用了一個很大的盤子裝，但其實很少。
炸薯條也炸的太久，起司條還可以。
很雷的點……
兩人用餐要一千元，不如去吃別的。",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
楓雪,4,1 年前,餐點很好吃，不過等很久，是一道吃完才做下一道，吃了兩個多小時，想去逛的地方都沒時間去，不建議去遊玩時吃，有點浪費時間在吃的上面，都沒時間去景點玩,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
劉家俊,4,2 年前,信義大遠百美食街店鋪，方便，與朋友相約用餐輕鬆，菜色一般，豬肋排味道OK但是很柴，其他餐點還可以，主要是擺盤很用心，員工很認真。建議不要坐考外面的高腳座位，桌椅搭配高度有問題，連我身高181都嫌桌子太高了，店家可以考慮調整一下。,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Jamie Zeng,4,6 個月前,"青醬+鄉村青蔬燉飯，味道剛好。 匆忙的購物行程中快速吃頓飯還算ok.

260+10%",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
抹茶貓,1,3 個月前,"空間小、菜單少、點餐需自己到櫃檯 沒有候位椅
無講解點餐流程 服務態度隨便 紙巾超級難抽又不吸水
青醬很鹹 鮭魚非想像中的鮭魚排 吃起來一點都不鮭魚 價格貴份量卻看起來一點點 令人傻眼
濃湯用一個大盤子裝 請問最後一點點是要怎麼喝...
告知水打翻要借抹布 卻拿拖把出來
再次強調椅子上有水 卻換了一張不是當事者的椅子
不會積極主動收空盤 上餐一個收一個
最重要的一點 無素食！！！ 請素食者自行提醒用素",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
江子黎,3,1 年前,"焗烤鮭魚巧達千層麵 $250
份量超級小，如果很餓的人可能會吃不飽🥺
上面的鮭魚有炙燒過，吃得出來炙燒的口感，焗烤翻開裡面的麵體是神奇的橘紅色，蠻特別的，口感覺得有其他更好吃的選擇。

❗濃湯裡有甲殼類，會對海鮮過敏的請注意，點餐前有特別詢問店員，但菜單上沒寫，會過敏的人要注意❗

看評論有人說店員態度不好，今天來點的店員是一個長髮女生，講話輕柔不算態度不好，不過的確倒水是要自己來。",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Jack Lin,3,1 年前,"清炒蒜香椒鹽烤鮮蝦麵，以這價位提供三支不算大的蝦，說不上貴，但也不便宜了，但其中一支蝦口感較粉粉軟軟，應該是鮮度略差了，可以新鮮些更好。
口味不錯，但麵體對我而言蠻硬的。
前台人員服務態度不太好。",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
1314 I5,2,2 個月前,店員結帳送餐都一副很趕的樣子，動作都很大力，按螢幕很大力，送餐放杯盤也都碰一聲，應該是沒對不起店員，但整個服務感覺很不細心氛圍很差，第一盤送上來的濃湯盤緣甚至有一根頭髮。以上如果是路邊攤就算了，這間店不但不便宜，還收服務費......食物也只能說是一般，尤其濃湯不怎麼樣。,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Carol Xue,5,2 週前,"人手較少需等待，但工作人員實際上速度已經算是蠻快的，解說時口氣也很親切。

餐點相當好吃，調味剛剛好。",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
劉又嘉,5,1 年前,餐點口味不錯，外場人員都很親切，還會主動詢問是否需要續湯與麵包一次,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
雲淡風輕,3,2 年前,"雙人套餐CP值頗高，麵包，沙拉，湯，主餐，飲料，甜點全部都有。
麵包：就是一片薄薄的麵包，抹上一點醬。
主廚濃湯：喝完之後也不知道是什麼口味的湯😅
季節水果沙拉：灑上堅果顆粒+微甜的百香果醬，好吃。
時蔬溫沙拉：店員有介紹搭配的醬汁，但是太複雜根本沒聽清楚，也不錯吃。
法式松露醬蛤蜊義大利麵：先選擇要義大利麵或是燉飯再選擇搭配的醬汁口味，法式松露醬不會過於濃稠，整盤吃完後不會覺得太膩，但是當天的蛤蜊不新鮮，吃起來腥味很重，真的很扣分。
德國豬腳：豬腳不像一般排餐的整塊豬腳，是切片的，因此份量其實不多，再加上豬腳是切片後才炸？整個肉質偏乾偏硬，咬的有點累。
飲料可任選……選了兩杯現打果汁，還算不錯，不過只裝了八分滿。
甜點是伯爵茶口味的戚風蛋糕，蛋糕本體有點偏乾，一定要配奶油一起吃，不然可能會噎到。",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Cindy711,1,1 年前,人員都在廚房，完全沒人在外場點餐或是整理，喝湯的盤子完全都油的，餐點點了30分鐘還忘記做，不曉得在內場瞎忙什麼，明明沒什麼人。體驗非常不好，價格又偏貴，還服務收10%？？,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Ling-Ya Hung,4,2 年前,"平日晚上去，沒客人，但有張桌子上遺留著之前的客人的餐盤跟剩食，店員沒有馬上收，一直放在那裡不知道是為什麼，觀感不太好。

我點了蛤蜊焗烤千層麵，就是調理包哈哈。

收一成服務費。",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
林桓吟,3,1 年前,"用餐時間：
2023/04/22 假日晚上
無訂位，內用空間不大，但蠻多位置
先買單，有服務費
-焗烤義式蕃茄牛肉千層麵 $250（+服務費275）
可能因為要焗烤所以時間有點長
份量很小，而且麵不多，肉量還可以
是片狀的牛肉，不是塊狀的
吃起來很普通
可能是適合吃甜點的店",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Coco Chang,4,2 年前,平日中午人潮不多，本次單點清炒蒜香北海道大干貝義大利麵，口味可以，價位中上；但以地點來說，價位還可接受,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Hsu,4,1 個月前,青醬口味還不錯,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Claire Yu,1,2 年前,"一顆星都不想給，難怪星期六午餐時間都沒客人！只是因為剛好要去apple store就近方便才入座
會有這麼高的評價原來是因為以前有評論5顆星送飲料的關係。
餐點味道普通，青醬燉飯超級鹹！千層麵的鮭魚也很鹹
價格偏貴還有收10%服務費！
真不懂收服務費的意思是什麼意思
點餐要自己去櫃檯點，桌上水空了服務生也不會來倒水，要自己倒水
服務員觀察看客戶水杯水量不足，只看手機和發呆，客人多就算了 但算上我們也才兩三桌客人，也沒辦法服務好😭",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
詹皇斌,4,1 年前,"【南瓜醬-北海道干貝義大利麵$320】好吃但有點鹹
【明太子醬-英式炸魚$260+20】好吃但有點鹹
【A套餐$99】麵包好吃, 巧達湯有點鹹, 都可以續一次",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
林筱晴,3,10 個月前,"非常重鹹的一家店，口味實在是太重了，連平日裡吃很鹹的我都不太能接受，有一種吃完馬上要洗腎的感覺

點了蒜香蛤蜊義大利麵，蛤蜊很大顆也很鮮
但是蒜的量多到太誇張味道很重吃幾口就很膩，而且加上重鹹所以全程真的是瘋狂喝水

給三顆星是因為服務很積極加上套餐的麵包蠻好吃的
其他餐點口味建議可以調整一下",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Evan Wu,4,3 年前,看到新開幕特地過來嚐鮮！這次點了白醬蛤蜊麵、青醬雞腿燉飯、焗烤千層麵。每一個餐點口味都不錯吃。蛤蜊新鮮、雞腿肉嫩皮脆，但份量的部份略嫌較小。,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
江旭智,3,7 個月前,人手不足導致服務人員服務口氣較差稍可諒解，餐點味道是不錯的，但不推薦給趕時間的各位。,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
