捷運站,餐廳名稱,星級,評論數,熱門評論
台北車站,Yun-Chen Italian Restaurant,4.9,5095,"['氣氛非常好，燈光和裝飾讓人感覺非常平靜。食物非常美味，而且份量充足。工人們也都非常好。', '非常舒適且漂亮的餐廳。寬敞舒適。工作人員也很溫柔、有禮貌。很高興再次光臨！', '食物很棒，服務很棒👌位置很方便。強烈推薦。速度也超快！']"
台北車站,bb.q CHICKEN南西店,4.8,4563,"['美味的韓國炸雞搭配秘製醬汁味道很好，尤其是脆皮和多汁的外皮。秘製醬汁讓炸雞如此正宗、美味。此外，雞肉很肥美，您可以將骨頭放入提供的桶中。我點的飲料很特別，杯子上甚至還有一根蘇打冰棒。我猜飲料本身是由一些熱帶果汁、柑橘、碳酸飲料和其他我想不到的成分組成。簡而言之，這只是一種熱帶/夏季無酒精雞尾酒。喝上甜而不酸的無酒精雞尾酒，既解渴又放鬆。總而言之，這絕對是我從小到大吃過的最好吃的韓國炸雞。以一個人來說價格適中，但是份量很大。整體而言，這絕對是十分滿分！僅供參考，您可以在掃描二維碼後下訂單。帳單中包含10％的服務費，最低消費為200美元。', '我旅行期間在這裡吃過兩次！韓式雞肉太好吃了，我們只好再來。炒年糕也確實好吃。工作人員很細心、樂於助人！', '雞肉不錯，炸皮也不錯，但是有股油味，吃原味的話味道很明顯。辣子雞太瘋狂了！非常非常辣，小心！']"
台北車站,Golden Son Korea Pasta (Zhongshan),4.7,2520,"['整體來說還不錯。這家餐廳很有名。裝飾和氛圍都很美好、平靜。我建議您提早來或提前預訂。辣味義大利麵很辣（辣度3.5/5）。菠菜麵食很好吃（混合得很好）。但如果你混合醬汁，效果就會出奇的好🤩', '很棒的服務和美味的食物。請提前預訂', '在台北很難找到每人 300 至 400 美元以內的好地方。我們點了 3 份主菜和 1 份配菜，都很好。我最喜歡的是魷魚。']"
台北車站,Watami Kitchen Breeze Taipei Station Branch,4.6,1979,"['有可續杯的米飯、湯和無限量供應的牛奶軟冰淇淋，配有 6 種口味的糖漿和 3 種配料。抹茶糖漿軟冰淇淋是我最喜歡的選擇。此外，您還可以額外付費添加更多東西到您的套餐中，飲料吧的費用是每人 49 美元。日本和牛和米飯盒裝（399 美元）：如果您不喜歡和牛原來的熟度（中等），可以將和牛煮得更熟。隨後，大約 10 片和牛吃起來非常多汁且質地細膩。醬汁也與肉片和米飯完美搭配。這絕對是我嚐過的最好吃、最道地的日本便當。此外，套裝內還包含一顆蒸煮蛋和4道配菜。與牛丼不同，這裡沒有放洋蔥，只加了蔥。 （我不喜歡洋蔥，所以我寫了這條註釋）總之，如果您非常渴望嘗試和牛但又想以較低的價格購買，我強烈推薦這家餐廳，因為它的價格相對於其份量、價值和質量來說都相當合理。服務和速度也很好，很有效率。整體而言，這絕對是十分滿分！順便說一下，您可以掃描二維碼下單，最長用餐時間為 90 分鐘，不包含 10% 的服務費。餐具放在桌子側面的抽屜裡。', '食物一般。我們的菜裡沒有足夠的肉。優點是您可以隨意享用冰淇淋，配料包括抹茶粉、花生粉和紅糖漿。還有味噌湯和米飯。 Watami 位於二樓。', '真的很棒的自助燒烤，價格相當高，但食物的品質絕對令人驚嘆，絕對推薦給肉食愛好者！']"
台北車站,默爾 pasta pizza(台北誠品南西店),4.8,2905,"['我們在尋找吃飯的地方時偶然發現了這家餐廳，並且對我們的發現感到驚喜。雖然那天沒有披薩，但其他菜單選項都相當不錯。我親自嘗試了肉醬麵，對其中使用的真番茄印象深刻——這在許多餐廳中很少見。這種獨特的做法使它成為我最喜歡的菜餚之一，我絕對推薦大家嘗試一下。在我們訪問期間，餐廳也相對空曠，為我們帶來了安靜愉快的用餐體驗。', '烤蔬菜帶有煙燻香氣，味道清淡。以酵母麵團為原料製成的披薩，起司味十足，嚼勁十足。', '我很想吃義大利麵，偶然發現了這個地方。我和先生點了蛤蜊意麵和雞翅。我們真的很喜歡這兩道菜！唯一的缺點是：這個地方對台灣來說有點貴。']"
台北車站,Katsuya Hoyii Taipei Station Restaurant,4.7,7871,"['我們只在台北待了幾天，但我們不得不來這裡兩次，因為這裡的食物太棒了。肉質鮮嫩且烹調完美的蝦天婦羅。強烈推薦', '這是一家自助餐廳，您可以自備杯子/餐具，透過手機訂餐，自己取菜。炸豬排非常美味，而且非常酥脆。肉質鮮嫩，即使沒有醬汁也已經有一定的味道。點主餐時還可以額外加一份炸蝦，每份29元台幣。我們還嘗試了他們的限量特色菜——酸辣炸雞腿。雖然味道不錯，但太油膩了。位置很方便。', '咖哩豬肉非常好吃，豬肉不油膩。麻辣蒜蓉雞味道獨特，香氣撲鼻，口感酥脆。令人滿意的一餐。']"
台北車站,YABI KITCHEN Eslite Nanxi Branch,4.5,1451,"['我喜歡這家餐廳。該餐廳供應受歡迎的亞洲菜餚，並擁有一些獨特的 Yabi 創作。我來過這裡幾次，食物總是烹調得非常完美。很多菜餚味道濃鬱；因此，我建議您謹慎訂購。', '對印尼人來說，這確實是美味的食物。味道引人注目且均衡。辛辣卻美味。他們做的菜真是太好吃了！它的味道就像我童年的一樣🥺我最喜歡的是（1）牛肉仁當（2）西班牙炒水配櫻花蝦（3）肉骨茶豬肉湯（4）薑黃飯。好吃好吃好吃！', '喜歡在這裡吃飯。這就像同時在新加坡、泰國和台灣吃過飯一樣。傳統風味的有趣融合。 「台灣煎餅」披薩值得一嚐。咖哩雞很棒，脆皮排骨也很棒。在繁華的氛圍中提供良好的服務。觀看下面繁忙街道上發生的一切事情對人們來說很有趣。而且您得到的東西價格合理。如果您的人數超過 4 人並且週末出行，我建議您提前預訂。']"
台北車站,Su Hung,4.3,3391,"['這家江浙菜餐廳非常適合家庭聚會，氛圍溫馨而熱情。老鴨鍋超豐盛美味，但需事先預約。', '儘管他們的醬汁/肉汁中加入了太多的澱粉，但整體來說食物還是很美味的。我們在二樓吃飯，那裡看起來比較舊，而且破舊。服務符合您對台灣老派餐廳的期望。對於您得到的產品而言價格合理。', '這是一家米其林一星餐廳，服務絕對一流，但有些菜對我來說有點偏甜。蝦子粉絲、湯都很棒。']"
台北車站,新高軒北車店,4.5,2034,"['咖哩令人滿意，濃鬱、濃稠度足夠。但是，這是您在車站可以找到的最好的咖哩，因此非常適合在前往其他城市之前享用。我點了牛小排咖哩，外加唐揚雞和福神漬。唐揚雞有點硬但可以接受，而福神漬則添加了薑，與咖哩一起食用時更添風味。總而言之，這道菜很適合在火車前吃，但不要為了嘗試而大老遠跑來。是的', '在台北微風廣場漫步時發現了這家餐廳，我很高興我在這裡用餐的選擇是正確的。這家餐廳最好的一點是，如果您需要更多咖哩，可以免費續杯。我點了炸豬排咖哩飯（Zha Zhu Pai Ga Li Fan）（炸豬排咖哩飯），還點了一份北海道風味炸丸子。一開始可能會有點畏懼，因為他們只有中文菜單（我應該問他們是否有英文菜單）但餐廳工作人員非常友好地指導你菜單上寫了什麼。', '對於喜歡日式咖哩的人來說，一定要去那裡。這套花了320台幣。牛肉很嫩。一切都很順利。請在此停留。']"
台北車站,Tutto Fresco翡冷翠義式餐廳,4.6,4621,"['明太子扇貝奶油（義大利麵）（370美元）：如果你跟我一樣不喜歡吃洋蔥，你可以要求不放洋蔥。這種麵條的質地與典型的意大利麵條不同，它是扁平的而不是圓形的，我開始喜歡它了。一開始聞起來有起司味，但明太子醬和麵條一起吃起來非常美味可口。黑糖抹茶牛奶（150美元）：飲用前請攪拌一下，因為這樣口味會比較均衡。它非常奶油味和正宗，但底部是最甜的部分。 Affogato（150 美元）：今天的主廚甜點（110 美元）是焦糖起司蛋糕，我不喜歡起司蛋糕，所以我點了這個，因為它只貴了 40 美元（+10%=44 美元）。堅果和咖啡使冰淇淋味道極佳，但不要與冰淇淋一起吃太多咖啡，否則可能會很苦。此外，您還可以額外支付 110 美元將主菜升級為組合 A（您可以從 4 種中選擇 2 種，包括沙拉、湯、甜點和可續杯的咖啡/茶）或額外支付 150 美元將主菜升級為組合 B（您可以選擇上述所有 4 種選項）。總而言之，份量不是最好的，價格也比預期的要高一點，但食物的品質和味道都非常棒。服務態度和服務速度都很好。前往餐廳最方便的捷運出口為Z6（車站前地下街，連接台北車站），只需幾分鐘。整體而言，滿分 10 分！僅供參考，您的帳單中包含 10% 的服務費。', '我們最初停下來喝 Relax 酒店贈送的免費啤酒，最後卻點了一份披薩。當時大約是 8 點鐘，服務員告訴我們點餐，因為他們的最後點餐時間是 8.15。記住這一點。大約15分鐘後披薩就送來了。沒什麼特別的，只是一層簡單的薄皮，非常辣。我們點的披薩是博洛尼亞風味碎豬肉配紫茄子，說實話沒什麼特別的。我們剛開始吃飯，另一個人就過來告訴我們必須付錢，但不要急吃。我猜他們很快就關閉了收銀台。餐廳裡相當冷，而且他們的金屬椅子更冷。確保你帶了一件夾克。我會推薦這個地方嗎：不太會。', '食物非常美味。但是，我去的時候，冷氣很冷。我還看到其他食客都抱起雙臂，因為天氣太冷。工作人員沒有及時加水，但他們很好心地折疊了雨傘。他們看起來很匆忙。']"
